Subject;Boundary;SameContext;First;Last
201;0,880952381;0,786904762;0,785714286;0,714285714
204;0,833333333;0,726190476;0,785714286;0,785714286
205;0,69047619;0,625;0,642857143;0,5
206;0,928571429;0,876190476;1;0,928571429
207;0,928571429;0,894047619;0,714285714;1
208;0,69047619;0,547619048;0,571428571;0,714285714
209;0,595238095;0,555952381;0,642857143;0,428571429
210;0,5;0,566666667;0,5;0,428571429
211;0,738095238;0,6;0,642857143;0,642857143
213;0,904761905;0,73452381;0,642857143;0,928571429
214;0,595238095;0,469047619;0,5;0,428571429
215;0,571428571;0,488095238;0,571428571;0,785714286
216;0,952380952;0,807142857;0,928571429;0,857142857
217;0,80952381;0,780952381;0,571428571;0,928571429
219;1;0,903571429;0,928571429;0,857142857
221;0,833333333;0,783333333;0,714285714;0,714285714
222;0,80952381;0,779761905;0,785714286;0,928571429
224;0,904761905;0,751190476;0,785714286;0,571428571
225;0,357142857;0,552380952;0,428571429;0,571428571
226;0,619047619;0,554761905;0,785714286;0,571428571
227;0,80952381;0,760714286;0,928571429;1
229;0,80952381;0,710714286;0,714285714;0,857142857
230;0,928571429;0,861904762;0,571428571;0,928571429
231;0,761904762;0,785714286;0,714285714;0,785714286
233;0,952380952;0,85952381;0,857142857;0,857142857
234;0,69047619;0,55952381;0,5;0,5
235;0,880952381;0,773809524;1;0,928571429
236;0,80952381;0,857142857;0,857142857;0,928571429
237;0,976190476;0,91547619;0,785714286;1
239;0,80952381;0,74047619;0,714285714;0,785714286
