"Subject","SameContext","Boundary"
302,0.725,0.5
303,0.791666666666667,0.527777777777778
304,0.483333333333333,0.477777777777778
305,0.25,0.388888888888889
306,0.658333333333333,0.522222222222222
307,0.533333333333333,0.6
308,0.675,0.522222222222222
309,0.641666666666667,0.577777777777778
310,0.508333333333333,0.544444444444444
312,0.4125,0.483333333333333
313,0.9,0.733333333333333
314,0.5125,0.516666666666667
315,0.325,0.483333333333333
316,0.725,0.716666666666667
317,0.6,0.533333333333333
318,0.625,0.666666666666667
319,0.6125,0.533333333333333
320,0.5375,0.666666666666667
321,0.7125,0.583333333333333
322,0.7125,0.633333333333333
323,0.6875,0.666666666666667
324,0.7,0.566666666666667
325,0.55,0.583333333333333
326,0.3875,0.5
